"uid","name","diocese","province","honigmann_page_number","hierokles_section_and_line_numbers","external_references"
203,"Krete","Illyrikon","Krete",19,"649,3","BA 102 D4"
204,"Gortyna","Illyrikon","Krete",19,"649,4","BA 60 C2"
205,"Einatos","Illyrikon","Krete",19,"649,5","BA 60 D3"
206,"Bienna","Illyrikon","Krete",19,"649,6","BA 60 D2 Biannos"
207,"Hierapydna","Illyrikon","Krete",19,"649,7","BA 60 E2"
208,"Kamara","Illyrikon","Krete",19,"650,1","BA 60 E2 Lato pros Kamara"
209,"Allyngos","Illyrikon","Krete",19,"650,2","BA 60 E2 Olous; RE Allyngos"
210,"Chersonesos","Illyrikon","Krete",19,"650,3","BA 60 D2"
211,"Lyktos","Illyrikon","Krete",19,"650,4","BA 60 D2"
212,"Arkadia","Illyrikon","Krete",19,"650,5","BA 60 D2 Arkades"
213,"Knosos","Illyrikon","Krete",19,"650,6","BA 60 D2"
214,"Soubritos","Illyrikon","Krete",19,"650,7","BA 60 C2 Sybrita"
215,"Oaxos","Illyrikon","Krete",19,"650,8","BA 60 C2 (W)Axos"
216,"Eleutherna","Illyrikon","Krete",19,"650,9","BA 60 C2"
217,"Lampe","Illyrikon","Krete",19,"650,10","BA 60 B2 Lappa"
218,"Aptera","Illyrikon","Krete",19,"650,11","BA 60 B2"
219,"Kydonia","Illyrikon","Krete",19,"650,12","BA 60 B1"
220,"Kisamos","Illyrikon","Krete",19,"650,13","BA 60 A2"
221,"Kantanos","Illyrikon","Krete",19,"650,14","BA 60 A2"
222,"Elyros","Illyrikon","Krete",19,"650,15","BA 60 A2"
223,"Lissos","Illyrikon","Krete",19,"650,16","BA 60 A2"
224,"Phoinike","Illyrikon","Krete",19,"651,1a","BA 60 B2 Phoinix"
225,"Araden","Illyrikon","Krete",19,"651,1b","BA 60 B2"
226,"Kaudos Nesos","Illyrikon","Krete",19,"651,2","BA 60 B3"
227,"Palaia Epeiros","Illyrikon","Palaia Epeiros",19,"651,3","BA 102 D4"
228,"Nikopolis","Illyrikon","Palaia Epeiros",19,"651,4","BA 54 C3"
229,"Dodone","Illyrikon","Palaia Epeiros",19,"651,5","BA 54 C2"
230,"Euroia Akniou","Illyrikon","Palaia Epeiros",19,"651,6-7","BA 54 C3"
231,"Adrianoupolis","Illyrikon","Palaia Epeiros",19,"651,8","BA 54 B2"
232,"Appon","Illyrikon","Palaia Epeiros",19,"652,1","BA 54 Unloc"
233,"Phoinike","Illyrikon","Palaia Epeiros",19,"652,2","BA 54 B2 Phoinike 1"
234,"Anchiasmos","Illyrikon","Palaia Epeiros",19,"652,3","BA 54 B2 Onchesmos"
235,"Bouthrotos","Illyrikon","Palaia Epeiros",19,"652,4","BA 54 B2"
236,"Photike","Illyrikon","Palaia Epeiros",19,"652,5","BA 54 B3"
237,"Kerkyra Nesos","Illyrikon","Palaia Epeiros",19,"652,6","BA 54 A2 Corcyra Ins."
238,"Ithake Nesos","Illyrikon","Palaia Epeiros",20,"652,7","BA 54 C5"
239,"Nea Epeiros","Illyrikon","Nea Epeiros",20,"652,8","BA 102 D3"
240,"Dyrrachion","Illyrikon","Nea Epeiros",20,"653,1","BA 49 B2"
241,"Skampa","Illyrikon","Nea Epeiros",20,"653,2","BA 49 C2"
242,"Apollonia","Illyrikon","Nea Epeiros",20,"653,3","BA 49 B3"
243,"Boullis","Illyrikon","Nea Epeiros",20,"653,4","BA 49 B3"
244,"Amantia","Illyrikon","Nea Epeiros",20,"653,5","BA 49 B3"
245,"Poulcheriopolis","Illyrikon","Nea Epeiros",20,"653,6","Unloc"
246,"Aulon","Illyrikon","Nea Epeiros",20,"653,7","BA 49 B3"
247,"Lychnidos","Illyrikon","Nea Epeiros",20,"653,8","BA 49 C2"
248,"Alistron","Illyrikon","Nea Epeiros",20,"654,1a","RE Alistros; Unloc"
249,"Skepton?","Illyrikon","Nea Epeiros",20,"654,1b","Unloc"
250,"Dakia Mesogeios","Illyrikon","Dakia Mesogeios",20,"654,2","BA 102 D3"
251,"Sardike","Illyrikon","Dakia Mesogeios",20,"654,3","BA 21 F7"
252,"Pautalia","Illyrikon","Dakia Mesogeios",20,"654,4","BA 49 E1"
253,"Germai","Illyrikon","Dakia Mesogeios",20,"654,5","BA 49 F1 Germania"
254,"Naissos","Illyrikon","Dakia Mesogeios",20,"654,6","BA 21 D6"
255,"Remesiana","Illyrikon","Dakia Mesogeios",20,"654,7","BA 21 E6"
256,"Parapotamia Dakia","Illyrikon","Parapotamia Dakia",20,"655,1","BA 102 D3"
257,"Ratiaria","Illyrikon","Parapotamia Dakia",20,"655,2","BA 21 E6"
258,"Bononia","Illyrikon","Parapotamia Dakia",20,"655,3","BA 21 E5"
259,"Akyes","Illyrikon","Parapotamia Dakia",20,"655,4","BA 49 E1 Aquae?"
260,"Kastra Martis","Illyrikon","Parapotamia Dakia",20,"655,5","BA 21 E6"
261,"Oiskos","Illyrikon","Parapotamia Dakia",20,"655,6","BA 22 B5"
262,"Dardania","Illyrikon","Dardania",20,"655,7","BA 102 D3"
263,"Skoupoi","Illyrikon","Dardania",20,"655,8","BA 49 D1"
264,"Merion","Illyrikon","Dardania",20,"656,1","RE; Unloc"
265,"Oulpiana","Illyrikon","Dardania",20,"656,2","BA 49 D1"
266,"Praibalis","Illyrikon","Praibalis",20,"656,3","BA 102 C3"
267,"Skodra","Illyrikon","Praibalis",20,"656,4","BA 49 B1"
268,"Lissos","Illyrikon","Praibalis",20,"656,5","BA 49 B2"
269,"Doklea?","Illyrikon","Praibalis",20,"656,6","BA 49 B1"
270,"Mysia I","Illyrikon","Mysia I",21,"657,1","BA 102 D3"
271,"Biminakion","Illyrikon","Mysia I",21,"657,2","BA 21 D5 Viminacium"
272,"Singidounon","Illyrikon","Mysia I",21,"657,3","BA 21 C5"
273,"Gratiana","Illyrikon","Mysia I",21,"657,4","RE 2; Unloc"
274,"Trikornia","Illyrikon","Mysia I",21,"657,5","BA 21 C5"
275,"Horreomargou","Illyrikon","Mysia I",21,"657,6","BA 21 D56 Horreum Margi"
276,"Pannonia","Illyrikon","Pannonia",21,"657,7","BA 102 C2"
277,"Sirmion","Illyrikon","Pannonia",21,"657,8","BA 21 B5"
278,"Bassiana","Illyrikon","Pannonia",21,"657,9","BA 21 B5"
279,"Asiane","Asiane",,21,"658,1a","BA 102 E4"
280,"Asia","Asiane","Asia",21,"658,1b","BA 102 E4"
281,"Ephesos","Asiane","Asia",21,"659,1","BA 61 E2"
282,"Anaia","Asiane","Asia",21,"659,2","BA 61 E2"
283,"Priene","Asiane","Asia",21,"659,3","BA 61 E2"
284,"Magnesia Maiandrou","Asiane","Asia",21,"659,4","BA 61 F2"
285,"Tralleis","Asiane","Asia",21,"659,5","BA 61 F2"
286,"Nysa","Asiane","Asia",21,"659,6","BA 61 G2"
287,"Brioulla","Asiane","Asia",21,"659,7","BA 65 A2"
288,"Mastaura","Asiane","Asia",21,"659,8","BA 61 G2"
289,"Anineta","Asiane","Asia",21,"659,9","BA 61 G2"
290,"Hypaipa","Asiane","Asia",21,"659,10","BA 56  F5"
291,"Arkadioupolis","Asiane","Asia",21,"659,11","BA 56 Unloc"
292,"Dios Hieron","Asiane","Asia",21,"659,12","BA 56 G5"
293,"Augaza","Asiane","Asia",21,"659,13","BA 56 Unloc"
294,"Koloe","Asiane","Asia",21,"660,1a","BA 56 G5"
296,"Algiza","Asiane","Asia",22,"660,2","BA 56 Unloc"
297,"Nikaia","Asiane","Asia",22,"660,3","BA 56 G5"
298,"Palaiapolis","Asiane","Asia",22,"660,4","BA 61 G1"
299,"Baretta","Asiane","Asia",22,"660,5","BA 56 Unloc"
300,"Auliou Kome","Asiane","Asia",22,"660,6","BA 56 Unloc"
301,"Nea Aule","Asiane","Asia",22,"660,7","BA 56 Unloc"
302,"Kolophon","Asiane","Asia",22,"660,8","BA 61 E1"
303,"Metropolis","Asiane","Asia",22,"660,9","BA 56 E5"
304,"Lebedos","Asiane","Asia",22,"660,10","BA 61 D1"
305,"Teos","Asiane","Asia",22,"660,11","BA 56 D5"
306,"Smyrna","Asiane","Asia",22,"660,12","BA 56 E5"
307,"Klazomenai","Asiane","Asia",22,"660,13","BA 56 D5"
308,"Erythrai","Asiane","Asia",22,"660,14","BA 56 C5"
309,"Magnesia Sipylou","Asiane","Asia",22,"660,15","BA 56 E4"
310,"Aigai","Asiane","Asia",22,"660,16","BA 56 E4"
311,"Temnos","Asiane","Asia",22,"661,1","BA 56 E4"
312,"Phokaia","Asiane","Asia",22,"661,2","BA 56 D4"
313,"Kyme","Asiane","Asia",22,"661,3","BA 56 D4"
314,"Myrina","Asiane","Asia",22,"661,4","BA 56 D4"
315,"Pergamon","Asiane","Asia",22,"661,5","BA 56 E3"
316,"Elaia","Asiane","Asia",22,"661,6","BA 56 E4"
317,"Pitane","Asiane","Asia",22,"661,7","BA 56 D4"
318,"Tiarai","Asiane","Asia",22,"661,8","BA 56 E3"
319,"Theodosioupolis","Asiane","Asia",22,"661,9","BA 56 D3"
320,"Adramyttion","Asiane","Asia",22,"661,10","BA 56 D2"
321,"Antandros","Asiane","Asia",22,"661,11","BA 56 D2"
322,"Gargara","Asiane","Asia",22,"661,12","BA 56 D2"
323,"Assos","Asiane","Asia",22,"661,13","BA 56 C3"
324,"Hellespontos","Asiane","Hellespontos",23,"661,14","BA 102 E4"
325,"Kyzikos","Asiane","Hellespontos",23,"661,15","BA 52 B4"
