"uid","name","diocese","province","honigmann_page_number","hierokles_section_and_line_numbers","external_references"
716,"Mallos","Anatolike","Kilikia I",37,"704,8","BA 66 G3"
717,"Zephyrion","Anatolike","Kilikia I",37,"704,9","BA 66 F3"
718,"Kilikia II","Anatolike","Kilikia II",38,"705,1","BA 102 G4"
719,"Anazarbos","Anatolike","Kilikia II",38,"705,2","BA 67 B2"
720,"Mopsouestia","Anatolike","Kilikia II",38,"705,3","BA 67 B3"
721,"Aigeai","Anatolike","Kilikia II",38,"705,4","BA 67 B3"
722,"Epiphaneia","Anatolike","Kilikia II",38,"705,5","BA 67 C3"
723,"Alexandreia","Anatolike","Kilikia II",38,"705,6","BA 67 C3"
724,"Rossos","Anatolike","Kilikia II",38,"705,7","BA 67 B4 Rhosos"
725,"Eirenopolis","Anatolike","Kilikia II",38,"705,8","BA 67 C2"
726,"Phlabias","Anatolike","Kilikia II",38,"706,1","BA 67 C2"
727,"Kastabala","Anatolike","Kilikia II",38,"706,2","BA 67 C2"
728,"Kypros","Anatolike","Kypros",38,"706,3","BA 102 F4"
729,"Konstanteia","Anatolike","Kypros",38,"706,4","BA 72 D2"
730,"Tamassos","Anatolike","Kypros",38,"706,5","BA 72 C2"
731,"Kition","Anatolike","Kypros",38,"706,6","BA 72 D3"
732,"Amathous","Anatolike","Kypros",38,"706,7","BA 72 C3"
733,"Kourion","Anatolike","Kypros",38,"706,8","BA 72 B3"
734,"Paphos","Anatolike","Kypros",38,"706,9","BA 72 A3 (Nea) Paphos"
735,"Arsinoe","Anatolike","Kypros",38,"706,10","BA 72 A2"
736,"Soloi","Anatolike","Kypros",38,"707,1","BA 72 B2"
737,"Lapethos","Anatolike","Kypros",38,"707,2","BA 72 C2"
738,"Keramaia?","Anatolike","Kypros",38,"707,3","BA 72 C2 Keryn(e)ia.  Note also Keryneia at 707,6"
739,"Chythroi","Anatolike","Kypros",38,"707,4","BA 72 C2"
740,"Karpasia","Anatolike","Kypros",38,"707,5","BA 72 E1"
741,"Keryneia","Anatolike","Kypros",38,"707,6","Unloc; some confusion with Keramaia? at 707,3 has possibly occurred"
742,"[Tremithous]","Anatolike","Kypros",38,"707,7","BA 72 D2"
743,"[Leukousia]","Anatolike","Kypros",38,"707,8","BA 72 C2 Ledroi"
744,"Isauria","Anatolike","Isauria",38,"708,1","BA 102 F4"
745,"Seleukeia","Anatolike","Isauria",38,"708,2","BA 66 D4"
746,"Kelenderis","Anatolike","Isauria",38,"708,3","BA 66 C4"
747,"Anemourion","Anatolike","Isauria",38,"708,4","BA 66 B4"
748,"Titioupolis","Anatolike","Isauria",38,"709,1","BA 66 B4"
749,"Lamos","Anatolike","Isauria",38,"709,2","BA 66 A4"
750,"Antiocheia","Anatolike","Isauria",38,"709,3","BA 66 A4"
751,"Iouliosebaste","Anatolike","Isauria",39,"709,4","BA 66 A4"
752,"Kestroi","Anatolike","Isauria",39,"709,5","BA 66 A4"
753,"Selinous","Anatolike","Isauria",39,"709,6","BA 66 A4"
754,"Iotape","Anatolike","Isauria",39,"709,7","BA 66 A4"
755,"Diokaisareia","Anatolike","Isauria",39,"709,8","BA 66 D3"
756,"Olba","Anatolike","Isauria",39,"709,9","BA 66 D3"
757,"Klaudioupolis","Anatolike","Isauria",39,"709,10","BA 66 C3"
758,"Hierapolis","Anatolike","Isauria",39,"709,11","BA 66 Koropissos Unloc; TIB Kilikien 271 Hierapolis"
759,"Dalisandos","Anatolike","Isauria",39,"710,1","BA 66 Unloc"
760,"Germanikoupolis","Anatolike","Isauria",39,"710,2","BA 66 B3"
761,"Eirenopolis","Anatolike","Isauria",39,"710,3","BA 66 B4"
762,"Philadelpheia","Anatolike","Isauria",39,"710,4","BA 66 C3"
763,"Meloe","Anatolike","Isauria",39,"710,5","BA 66 C3"
764,"Adrasos","Anatolike","Isauria",39,"710,6","BA 66 C3"
765,"Sbide","Anatolike","Isauria",39,"710,7","BA 66 B3"
766,"Neapolis","Anatolike","Isauria",39,"710,8","BA 66 Unloc"
767,"Lauzadeai","Anatolike","Isauria",39,"710,9","BA 66 B3"
768,"Syria I","Anatolike","Syria I",39,"711,1","BA 102 G4"
769,"Antiocheia","Anatolike","Syria I",39,"711,2","BA 67 C4"
770,"Seleukeia","Anatolike","Syria I",39,"711,3","BA 67 B4"
771,"Laodikeia","Anatolike","Syria I",39,"711,4","BA 68 A2"
772,"Gabala","Anatolike","Syria I",39,"711,5","BA 68 A3"
773,"Paltos","Anatolike","Syria I",39,"711,6","BA 68 A3"
774,"Beroia","Anatolike","Syria I",39,"711,7","BA 67 E4"
775,"Chalcis","Anatolike","Syria I",39,"711,8","BA 68 C2"
776,"Syria II","Anatolike","Syria II",39,"712,1","BA 102 G4"
777,"Apameia","Anatolike","Syria II",39,"712,2","BA 68 B3"
778,"Epiphaneia","Anatolike","Syria II",40,"712,3","BA 68 C3"
779,"Arethousa","Anatolike","Syria II",40,"712,4","BA 68 C4"
780,"Larissa","Anatolike","Syria II",40,"712,5","BA 68 C3"
781,"Mariame","Anatolike","Syria II",40,"712,6","BA 68 B4"
782,"Balaneai","Anatolike","Syria II",40,"712,7","BA 68 A3"
783,"Raphaneai","Anatolike","Syria II",40,"712,8","BA 68 B4"
784,"Seleukobelos","Anatolike","Syria II",40,"712,9","BA 68 B2; TIB Syria 1720"
785,"Euphratesia","Anatolike","Euphratesia",40,"712,10","BA 102 G4"
786,"Hierapolis","Anatolike","Euphratesia",40,"712,11","BA 67 F3"
787,"Kyrros","Anatolike","Euphratesia",40,"713,1","BA 67 D3"
788,"Samosata","Anatolike","Euphratesia",40,"713,2","BA 67 H1"
789,"Doliche","Anatolike","Euphratesia",40,"713,3","BA 67 E2"
790,"Zeugma","Anatolike","Euphratesia",40,"713,4","BA 67 F2"
791,"Germanikeia","Anatolike","Euphratesia",40,"713,5","BA 67 D1"
792,"Perre","Anatolike","Euphratesia",40,"713,6","BA 67 G1"
793,"Nikopolis","Anatolike","Euphratesia",40,"713,7","BA 67 D2"
794,"Skenarchia","Anatolike","Euphratesia",40,"713,8","TIB Syria 1752; Unloc"
795,"Salton Eragizenon","Anatolike","Euphratesia",40,"713,9","BA 67 G4"
796,"Ourima","Anatolike","Euphratesia",40,"713,10","BA 67 F2"
797,"Europos","Anatolike","Euphratesia",40,"713,11","BA 67 G3"
798,"Osroene","Anatolike","Osroene",40,"713,12","BA 102 G4"
799,"Edessa","Anatolike","Osroene",40,"714,1","BA 67 H2"
800,"Constantina","Anatolike","Osroene",40,"714,2","BA 89 B3 Antiochia Arabis"
801,"Theodosioupolis","Anatolike","Osroene",40,"714,3","BA 89 C4 Resaina"
802,"Karrai","Anatolike","Osroene",40,"714,4","BA 67 H3"
803,"Batnai","Anatolike","Osroene",40,"714,5","BA 67 G3"
804,"Nea Oualentia","Anatolike","Osroene",40,"714,6","RE Nea Valentia; Unloc"
805,"Leontopolis He Kai Kallinikos","Anatolike","Osroene",40,"715,1","BA 68 G2 Nicephorium"
806,"Birtha","Anatolike","Osroene",40,"715,2","BA 67 F2"
807,"Mesopotamia","Anatolike","Mesopotamia",40,"715,3","BA 102 G4"
808,"Amida","Anatolike","Mesopotamia",40,"715,4","BA 89 C3"
809,"Phoinike","Anatolike","Phoinike",40,"715,5","BA 102 G5"
810,"Tyros","Anatolike","Phoinike",40,"715,6","BA 69 B3"
811,"Ptolemais","Anatolike","Phoinike",41,"715,7","BA 69 B4 Ake"
812,"Sidon","Anatolike","Phoinike",41,"715,8","BA 69 B2"
813,"Berytos","Anatolike","Phoinike",41,"715,9","BA 69 C2"
814,"Byblos","Anatolike","Phoinike",41,"715,10","BA 68 A5"
815,"Botrys","Anatolike","Phoinike",41,"716,1","BA 68 A5"
816,"Tripolis","Anatolike","Phoinike",41,"716,2","BA 68 A5"
817,"Arkai","Anatolike","Phoinike",41,"716,3","BA 68 B4"
818,"Orthosias","Anatolike","Phoinike",41,"716,4","BA 68 A4"
819,"Arados","Anatolike","Phoinike",41,"716,5","BA 68 A4"
820,"Antarados","Anatolike","Phoinike",41,"716,6","BA 68 A4"
821,"(Konstantina)","Anatolike","Phoinike",41,"716,7","Alternate name for Antarados immediately above"
822,"Po<litiane Kome>?","Anatolike","Phoinike",41,"716,8a","Unloc.  Perhaps only one name - Pogonas - is to be read in this line and the next."
823,"Gonas?","Anatolike","Phoinike",41,"716,8b","Unloc; see note immediately above"
824,"Paneas","Anatolike","Phoinike",41,"716,9","BA 69 C3"
825,"Phoinike Libanesia","Anatolike","Phoinike Libanesia",41,"717,1","BA 102 G5"
826,"Emisa","Anatolike","Phoinike Libanesia",41,"717,2","BA 68 C4 (H)Emesa"
827,"Laodikeia","Anatolike","Phoinike Libanesia",41,"717,3","BA 68 C4"
828,"Damaskos","Anatolike","Phoinike Libanesia",41,"717,4","BA 69 D2"
829,"Helioupolis","Anatolike","Phoinike Libanesia",41,"717,5","BA 69 D1"
830,"Abila","Anatolike","Phoinike Libanesia",41,"717,6","BA 69 D2"
831,"Palmyra","Anatolike","Phoinike Libanesia",41,"717,7","BA 68 F4"
832,"Palaistine I","Anatolike","Palaistine I",41,"717,8","BA 102 F5"
833,"Kaisareia","Anatolike","Palaistine I",41,"718,1","BA 69 A4"
834,"Dora","Anatolike","Palaistine I",41,"718,2","BA 69 A4"
835,"Antipatris","Anatolike","Palaistine I",41,"718,3","BA 70 F1"
836,"Diospolis","Anatolike","Palaistine I",41,"718,4","BA 70 F2 Lydda"
837,"Azotos Paralios","Anatolike","Palaistine I",41,"718,5","BA 70 F2"
838,"Azotos Mesogeios","Anatolike","Palaistine I",41,"718,6","BA 70 F2"
839,"Eleutheropolis","Anatolike","Palaistine I",41,"718,7","BA 70 F2"
840,"Ailia He Kai Hierosolyma","Anatolike","Palaistine I",41,"718,8","BA 70 G2 Ierusalem"
841,"Neapolis","Anatolike","Palaistine I",42,"718,9","BA 69 B5    The next line 718,10 is blank"
842,"Sebaste","Anatolike","Palaistine I",42,"718,11","BA 69 B5"
843,"Anthedon","Anatolike","Palaistine I",42,"719,1","BA 70 E2"
844,"Diokletianoupolis","Anatolike","Palaistine I",42,"719,2","TIR Iudaea 112; Unloc"
845,"Sykomazon","Anatolike","Palaistine I",42,"719,3","BA 70 E3"
846,"Ono","Anatolike","Palaistine I",42,"719,4","BA 70 F1"
847,"Sozousa","Anatolike","Palaistine I",42,"719,5","BA 69 A5 Apollonia"
848,"Ioppe","Anatolike","Palaistine I",42,"719,6","BA 70 F1"
849,"Gaza","Anatolike","Palaistine I",42,"719,7","BA 70 E2"
850,"Raphia","Anatolike","Palaistine I",42,"719,8","BA 70 E3"
851,"Askalon","Anatolike","Palaistine I",42,"719,9","BA 70 F2"
852,"Gazaris?","Anatolike","Palaistine I",42,"719,10","BA 70 F2"
853,"Bitylion","Anatolike","Palaistine I",42,"719,11","BA 70 E3"
854,"Palaistine II","Anatolike","Palaistine II",42,"719,12","BA 102 G5"
855,"Skythopolis","Anatolike","Palaistine II",42,"720,1","BA 69 C4"
856,"Pella","Anatolike","Palaistine II",42,"720,2","BA 69 C5"
857,"Gadara","Anatolike","Palaistine II",42,"720,3","BA 69 C4"
858,"Abila","Anatolike","Palaistine II",42,"720,4","BA 71 B2"
859,"Kapetolias","Anatolike","Palaistine II",42,"720,5","BA 69 C4"
860,"Hippos","Anatolike","Palaistine II",42,"720,6","BA 69 C4"
861,"Tiberias","Anatolike","Palaistine II",42,"720,7","BA 69 C4"
862,"Helenopolis","Anatolike","Palaistine II",42,"720,8","BA 69 B4"
863,"Diokaisareia","Anatolike","Palaistine II",43,"720,9","BA 69 B4 Sepphoris"
864,"Maximianoupolis","Anatolike","Palaistine II",43,"720,10","BA 69 B4 Legio"
865,"Gabai","Anatolike","Palaistine II",43,"720,11","BA 69 B4 Gaba Philippi"
866,"Palaistine III","Anatolike","Palaistine III",43,"721,1","BA 102 F6      Note BA Directory p. 1377:  Honig Map IV errs in excluding Sinai from Palaistine III"
867,"Petra","Anatolike","Palaistine III",43,"721,2","BA 71 A5"
868,"Augoustopolis","Anatolike","Palaistine III",43,"721,3","BA 71 B5 Adrou"
869,"Arindela","Anatolike","Palaistine III",43,"721,4","BA 71 B4"
870,"Charachmoba","Anatolike","Palaistine III",43,"721,5","BA 71 B3"
871,"Areopolis","Anatolike","Palaistine III",43,"721,6","BA 71 B3"
872,"Zoora","Anatolike","Palaistine III",43,"721,7","BA 71 A3"
873,"Mampsis","Anatolike","Palaistine III",43,"721,8","BA 70 G3"
874,"Baitarrous","Anatolike","Palaistine III",43,"721,9","BA 69 A5 Bethther"
875,"Elousa","Anatolike","Palaistine III",43,"721,10","BA 70 F3"
876,"Salton","Anatolike","Palaistine III",43,"721,11","TIR Iudaea 220; Unloc"
877,"Arabia","Anatolike","Arabia",44,"721,12","BA 102 G5"
878,"Bostra","Anatolike","Arabia",44,"722,1","BA 69 D4"
879,"Neila Kome","Anatolike","Arabia",44,"722,2","BA 69 E4 Nelkomia"
880,"Adraa","Anatolike","Arabia",44,"722,3","BA 69 D4"
881,"Dion","Anatolike","Arabia",44,"722,4","BA 69 Unloc"
882,"Hexakomia Kome","Anatolike","Arabia",44,"722,5","Thomsen, Loca Sancta 61; Unloc"
883,"Medaba","Anatolike","Arabia",44,"722,6","BA 71 B2"
884,"Gerasa","Anatolike","Arabia",44,"722,7","BA 69 C5"
885,"Neue?","Anatolike","Arabia",44,"722, 8","BA 69 D4"
886,"Philadelpheia","Anatolike","Arabia",44,"722,9","BA 71 B2"
887,"Neapolis","Anatolike","Arabia",44,"722,10","BA 69 Unloc"
888,"Hierapolis","Anatolike","Arabia",44,"722,11","BA 69 Unloc"
889,"Philippoupolis","Anatolike","Arabia",44,"722,12","BA 69 E4"
890,"Phaina","Anatolike","Arabia",44,"723,1","BA 69 D3"
891,"Konstantia","Anatolike","Arabia",45,"723,2","BA 69 Unloc"
892,"Dionysias","Anatolike","Arabia",45,"723,3","BA 69 E4"
893,"Kanotha","Anatolike","Arabia",45,"723,4","BA 69 E4 Canatha"
894,"Adrassos","Anatolike","Arabia",45,"723,5","RE 2; Unloc"
895,"Aigyptiake","Aigyptiake",,45,"723,6a","BA 102 D5"
896,"Aigyptos","Aigyptiake","Aigyptos",45,"723,6b","BA 102 F5"
897,"Alexandreia","Aigyptiake","Aigyptos",45,"723,7","BA 74 B2"
898,"Hermoupolis","Aigyptiake","Aigyptos",45,"724,1","BA 74 C2 Hermopolis Mikra"
899,"Menelaites","Aigyptiake","Aigyptos",45,"724,2","BA 74 C2 Schedia"
900,"Metelis","Aigyptiake","Aigyptos",45,"724,3","BA 74 C2"
901,"Bouto","Aigyptiake","Aigyptos",45,"724,4","BA 74 D2"
902,"Kabasa","Aigyptiake","Aigyptos",45,"724,5","BA 74 D2"
903,"Sais","Aigyptiake","Aigyptos",45,"724,6","BA 74 D3"
904,"Naukratis","Aigyptiake","Aigyptos",45,"724,7","BA 74 D3"
905,"Andron","Aigyptiake","Aigyptos",45,"724,8","BA 74 D3 Andronpolis"
906,"Nikiou","Aigyptiake","Aigyptos",45,"724,9","BA 74 D4"
907,"Xois","Aigyptiake","Aigyptos",45,"724,10","BA 74 D2"
908,"Phragonis","Aigyptiake","Aigyptos",45,"724,11","BA 74 D2"
909,"Pachnemounis","Aigyptiake","Aigyptos",45,"724,12","BA 74 E2"
910,"Diospolis","Aigyptiake","Aigyptos",45,"725,1","BA 74 F2 Diospolis Kato"
911,"Sebennytos","Aigyptiake","Aigyptos",45,"725,2","BA 74 E3"
912,"Onouphis","Aigyptiake","Aigyptos",45,"725,3","BA 74 D4 Onouphis Ano"
913,"Taua","Aigyptiake","Aigyptos",45,"725,4","BA 74 E3 Taya"
914,"Kleopatris","Aigyptiake","Aigyptos",45,"725,5","BA 74 Unloc"
915,"Kyno","Aigyptiake","Aigyptos",45,"725,6","BA 74 E3 Kynopolis"
916,"Bousiris","Aigyptiake","Aigyptos",46,"725,7","BA 74 E3"
917,"Oasis","Aigyptiake","Aigyptos",46,"725,8","BA 73 F5 Oasis Parva"
918,"Helearkia","Aigyptiake","Aigyptos",46,"726,1","BA 74 Unloc"
919,"Paralos","Aigyptiake","Aigyptos",46,"726,2","BA 74 D2 region of Paralios Limne"
920,"Augoustamnike I","Aigyptiake","Augoustamnike I",46,"726,3","BA 102 F5"
921,"Rinokoroura","Aigyptiake","Augoustamnike I",46,"726,4","BA 70 D3 Rhinocolura"
922,"Ostrakine","Aigyptiake","Augoustamnike I",46,"727,1","BA 70 C3"
923,"Kasion","Aigyptiake","Augoustamnike I",46,"727,2","BA 70 C3"
924,"Pentaskoinon","Aigyptiake","Augoustamnike I",46,"727,3","BA 70 Unloc"
925,"Aphnaion","Aigyptiake","Augoustamnike I",46,"727,4","BA 74 Unloc"
926,"Gerra","Aigyptiake","Augoustamnike I",46,"727,5","BA 70 B3"
927,"Skenai","Aigyptiake","Augoustamnike I",46,"727,6","Unloc C-D"
928,"Pelousion","Aigyptiake","Augoustamnike I",46,"727,7","BA 74 H2"
929,"Sethroites","Aigyptiake","Augoustamnike I",46,"727,8","BA 74 G2 Herakleopolis Mikra"
930,"Hephaistos","Aigyptiake","Augoustamnike I",46,"727,9","BA 74 G2"
931,"Panephysis","Aigyptiake","Augoustamnike I",46,"727,10","BA 74 F2"
932,"Tanis","Aigyptiake","Augoustamnike I",46,"727,11","BA 74 F2"
933,"Thmouis","Aigyptiake","Augoustamnike I",46,"727,12","BA 74 F3"
934,"Augoustamnike II","Aigyptiake","Augoustamnike II",46,"727,13","BA 102 F5"
935,"Leonto","Aigyptiake","Augoustamnike II",46,"728,1","BA 74 E4 Leontopolis"
936,"Athribis","Aigyptiake","Augoustamnike II",46,"728,2","BA 74 E4"
937,"Heliou","Aigyptiake","Augoustamnike II",46,"728,3","BA 74 E4 Heliopolis"
938,"Boubastos","Aigyptiake","Augoustamnike II",46,"728,4","BA 74 E3"
939,"Pharbaithos","Aigyptiake","Augoustamnike II",46,"728,5","BA 74 F3"
940,"Arabia","Aigyptiake","Augoustamnike II",46,"728,6","BA 74 F3 region/nome"
941,"Klysma Kastron","Aigyptiake","Augoustamnike II",46,"728,7","BA 74 H5"
942,"Arkadia","Aigyptiake","Arkadia",46,"729,1","BA 102 F6"
943,"Kyno","Aigyptiake","Arkadia",46,"729,2","BA 75 D4 Kynopolis"
944,"Oxyrynchos","Aigyptiake","Arkadia",46,"729,3","BA 75 D3"
945,"Herakleous","Aigyptiake","Arkadia",46,"729,4","BA 75 D2 Herakleopolis"
946,"Arsinoites","Aigyptiake","Arkadia",46,"729,5","BA 75 D2 region/nome"
947,"Theodosioupolis","Aigyptiake","Arkadia",46,"729,6","BA 75 D2 Tebtynis"
948,"Neiloupolis","Aigyptiake","Arkadia",46,"730,1","BA 75 E2 Tilothis"
949,"Aphrodito","Aigyptiake","Arkadia",47,"730,2","BA 75 E2 Aphrodito(polis)"
950,"Memphis","Aigyptiake","Arkadia",47,"730,3","BA 75 E1"
951,"Letous","Aigyptiake","Arkadia",47,"730,4","BA 74 E4 Letopolis"
952,"Thebais Engista","Aigyptiake","Thebais Engista",47,"730,5","BA 102 F6"
953,"Hermou","Aigyptiake","Thebais Engista",47,"730,6","BA 77 D1 Hermopolis Magna"
954,"Theodosioupolis","Aigyptiake","Thebais Engista",47,"730,7","BA 75 D4"
955,"Antino","Aigyptiake","Thebais Engista",47,"730,8","77 D1 Antinoopolis"
956,"Kousai","Aigyptiake","Thebais Engista",47,"730,9","BA 77 D2"
957,"Lykon","Aigyptiake","Thebais Engista",47,"731,1","BA 77 E2 Lykopolis"
958,"Hypsele","Aigyptiake","Thebais Engista",47,"731,2","BA 77 E2"
959,"Apollonos Mikra","Aigyptiake","Thebais Engista",47,"731,3","BA 77 E3 Apollonopolis Heptakomias Mikra"
960,"Antaiou","Aigyptiake","Thebais Engista",47,"731,4","BA 77 F3 Antaiopolis"
961,"Panos","Aigyptiake","Thebais Engista",47,"731,5","BA 77 F3 Panopolis"
962,"Oasis Megale","Aigyptiake","Thebais Engista",47,"731,6","BA 79 B2"
963,"Thebais Ano","Aigyptiake","Thebais Ano",47,"731,7","BA 102 F6"
964,"Ptolemais","Aigyptiake","Thebais Ano",47,"731,8","BA 77 F4 Ptolemais Hermiou"
965,"Diospolis","Aigyptiake","Thebais Ano",47,"731,9","BA 77 G4 Diospolis Mikra"
966,"Tentyra","Aigyptiake","Thebais Ano",47,"731,10","BA 80 B1"
967,"Maximianoupolis","Aigyptiake","Thebais Ano",47,"731,11","BA 80 B1 Kaine"
968,"Koptos","Aigyptiake","Thebais Ano",47,"732,1","BA 80 B1"
969,"Thebai","Aigyptiake","Thebais Ano",47,"732,2","BA 80 B2"
970,"Diokletianoupolis","Aigyptiake","Thebais Ano",47,"732,3","BA 80 B2 Apollonopolis Parva"
971,"Hermonthis","Aigyptiake","Thebais Ano",47,"732,4","BA 80 B2"
972,"Lato","Aigyptiake","Thebais Ano",47,"732,5","BA 80 B3 Latopolis"
973,"Apollonos","Aigyptiake","Thebais Ano",47,"732,6","BA 80 B4 Apollonopolis Magna"
974,"Omboi","Aigyptiake","Thebais Ano",47,"732,7","BA 80 B5"
975,"Libye He Ano","Aigyptiake","Libye He Ano",47,"732,8","BA 102 D5"
976,"Sozousa","Aigyptiake","Libye He Ano",47,"732,9","BA 38 C1 Apollonia"
977,"Kyrene","Aigyptiake","Libye He Ano",47,"732,10","BA 38 C1"
978,"Ptolemais","Aigyptiake","Libye He Ano",48,"732,11","BA 38 B1"
979,"Taucheira","Aigyptiake","Libye He Ano",48,"733,1","BA 38 B1"
980,"Adriane","Aigyptiake","Libye He Ano",48,"733,2","BA 38 B1 Hadrianopolis"
981,"Beronike","Aigyptiake","Libye He Ano",48,"733,3","BA 38 B1"
982,"Libye He Kato","Aigyptiake","Libye He Kato",48,"733,4","BA 102 E5"
983,"Paraitonion","Aigyptiake","Libye He Kato",48,"733,5","BA 73 E2"
984,"Zeugra","Aigyptiake","Libye He Kato",48,"733,6a","BA 73 D2 Zygris"
985,"Zagylis","Aigyptiake","Libye He Kato",48,"733,6b","BA 73 Unloc"
986,"Pedonia","Aigyptiake","Libye He Kato",48,"734,1","BA 73 F2"
987,"Antiphra","Aigyptiake","Libye He Kato",48,"734,2","BA 73 G3"
988,"Darnis","Aigyptiake","Libye He Kato",48,"734,3","BA 38 D1"
989,"Ammoniake","Aigyptiake","Libye He Kato",48,"734,4","BA 73 C4 Ammon"
