"x","y","id","title","uid","hollow","type"
19.7354265,40.5451505,481777,"Boullis",243,,"place"
19.61777,40.467944,481715,"Amantia",244,,"place"
19.473197,40.484898,481750,"Aulon",246,,"place"
20.793813,41.114619,481900,"Lychnidos",247,,"place"
23.342891,42.722826,207439,"Sardike",251,,"place"
22.688244,42.281134,481949,"Pautalia",252,,"place"
23.264178,42.289175,481844,"Germai",253,,"place"
21.893884,43.316295,207303,"Naissos",254,,"place"
22.293498,43.214499,207382,"Remesiana",255,,"place"
22.904856,43.817397,207376,"Ratiaria",257,,"place"
22.8759,43.993221,206975,"Bononia",258,,"place"
22.5390100237,44.184826666,0,"Akyes",259,,"place"
22.5237565,43.8905535,207017,"Kastra Martis",260,,"place"
24.465476,43.710514,216907,"Oiskos",261,,"place"
21.391437,42.016885,481987,"Skoupoi",263,,"place"
21.167965,42.6234405,482027,"Oulpiana",265,,"place"
19.520268,42.0672575,481986,"Skodra",267,,"place"
19.643916,41.7829405,481896,"Lissos",268,,"place"
19.3142526667,42.3928703333,481808,"Doklea?",269,,"place"
21.216122,44.736776,207549,"Biminakion",271,,"place"
20.4503,44.8236,207443,"Singidounon",272,,"place"
20.649959,44.733229,207515,"Trikornia",274,,"place"
21.3836,43.927174,207173,"Horreomargou",275,,"place"
19.610106,44.966447,207447,"Sirmion",277,,"place"
19.977001,44.9696585,206960,"Bassiana",278,,"place"
27.34551256,37.94218342,599612,"Ephesos",281,,"place"
27.276396,37.801915,599490,"Anaia",282,,"place"
27.2980995,37.6599361,599905,"Priene",283,,"place"
27.526039,37.8505485,599778,"Magnesia Maiandrou",284,,"place"
27.833862,37.859752,599987,"Tralleis",285,,"place"
28.144999,37.903405,599832,"Nysa",286,,"place"
28.6407415,37.9565135,638793,"Brioulla",287,,"place"
28.3528415,37.9504305,599790,"Mastaura",288,,"place"
28.443642,37.933423,599493,"Anineta",289,,"place"
27.962914,38.248459,550585,"Hypaipa",290,,"place"
28.083254,38.227646,550515,"Dios Hieron",292,,"place"
28.208011,38.22593,550659,"Koloe",294,,"place"
28.088427,38.161899,550775,"Nikaia",297,,"place"
28.2170655,38.085201,599846,"Palaiapolis",298,,"place"
27.1975057938,38.0035095111,0,"Kolophon",302,,"place"
27.324524,38.123992,550741,"Metropolis",303,,"place"
26.964722,38.077883,599754,"Lebedos",304,,"place"
26.785014,38.177262,550913,"Teos",305,,"place"
